"method","<init>"
"com.squareup.tacos",""
"Taco",""
"$T",""
"$T.a()",""
"$T.X",""
"$T$T",""
"$T.$T",""
"$1T$1T",""
"$1T$2L$1T",""
"?","","","","",""
"$1T$2L$2S$1T",""
"$1T$2L$2S$1T$3N$1T",""
"$T$L",""
"$T$S",""
"$T$N",""
"*",""
